kind,survey_id,variable,language,distance_bin,cos_to_train,cos_to_corpus,cos_to_train_cross_survey,n_valid_responses,n_heldout_cells_ge30,n_heldout_cells_ge100,n_candidates_in_cell,label
test_item,cecd_sante_can_usa,Q42,en,far,0.709376,0.709376,0.597554,7064,23,7,,"Préférence : Régime public universel vs régimes privés individuels — Some people say that there should be a government insurance plan which would cover all medical and hospital expenses for everyone. Other people say that all medical expenses should be paid by individuals, and through private insurance plans like Blue Cross"
test_item,ces_2019_online,pes19_ethid,en,far,0.750995,0.750995,0.750995,10340,34,1,,Importance of ethnicity and language to personal identity — My ethnicity and language are important parts of my identity.
test_item,ces_2019_online,pes19_lowturnout,en,far,0.702866,0.702866,0.63585,5188,15,0,,View that low voter turnout weakens Canadian democracy — Low voter turnout weakens Canadian democracy.
test_item,ces_2019_phone,p33,en,far,0.766844,0.766844,0.710997,2889,15,0,,"Perceived difference between who is in power — Some people say that it doesn't make any difference who is in power. Others say that it makes a big difference who is in power. Using a scale where ONE means that it doesn't make any difference who is in power and FIVE means that it makes a big difference who is in power, where would you place yourself?"
test_item,ces_2021,pes21_abort2,en,far,0.750927,0.750927,0.730583,15069,43,10,,Prises de position sur l'aide médicale à mourir et l'avortement — Should abortion be banned?
test_item,ces_2025,pes25_ai,en,far,0.745282,0.745282,0.654986,5884,16,0,,"Confidence in election information amidst artificial intelligence rise — Given the rise of AI, how confident are you in the information you received about the election?"
test_item,cecd_elxn_qc_1998,satisf,fr,far,0.755145,0.755145,0.755145,1344,8,0,,Satisfaction face au gouvernement sortant — Satisfaction face au gouvernement
test_item,cecd_elxn_qc_1998,meilpm,fr,far,0.756722,0.756722,0.756722,1404,9,0,,"Meilleur premier ministre pour diriger le Québec — Meilleur P.M, pour diriger le Québec"
test_item,cecd_elxn_qc_2007,z1q10,fr,far,0.754779,0.754779,0.754779,998,8,0,,"Parti ayant recruté l'équipe de candidats la plus apte — 10. Selon vous, jusqu'à maintenant, quel parti a recruté l'équipe de candidats la plus apte à former le prochain gouvernement?"
test_item,cecd_elxn_qc_2007,z1q15,fr,far,0.71298,0.71298,0.71298,998,8,0,,"Évaluation de l'accès au système de santé au Québec (meilleur, pire ou semblable à il y a 4 ans) — 15. Diriez-vous que l'accès au système de santé au Québec est meilleur, pire ou semblable à ce qu'il était il y a quatre ans ?"
test_item,eeq_2018,q40a,fr,far,0.723759,0.723759,0.655285,3072,8,7,,Accord : Les syndicats ont trop de pouvoir au Québec — Veuillez indiquer si vous êtes d’accord ou en désaccord avec cet énoncé : Les syndicats ont trop de pouvoir au Québec.
test_item,provincial_qc_2012,Q30B,fr,far,0.761227,0.761227,0.761227,990,8,0,,"Positionnement entre réductions d'impôts et services publics — Où vous situez-vous sur une échelle de 0 à 10, où 0 signifie être « très favorable aux réductions de taxes et d’impôts » et 10 signifie être « très favorable à l’amélioration des services publics » ?"
test_item,cecd_sante_can_usa,Q12,en,isolated,0.621432,0.621432,0.55138,7064,23,7,,"Opinion sur l'ampleur des réformes nécessaires au système de santé — What approach would you say that this country's health system requires at present: a complete rebuilding from the ground up, some fairly major repairs, some minor tuning up or is everything fine the way it is?"
test_item,cecd_sante_can_usa,Q65,en,isolated,0.659876,0.659876,0.549399,3522,15,0,,"Priorité : Santé gratuite universelle vs éducation gratuite universelle — If you had to choose, would you rather have a universally free and accessible health care system or a universally free and accessible education system?"
test_item,ces_2025,cps25_tarrifs_1,en,isolated,0.685728,0.685728,0.667905,20180,53,14,,Canada-US relations evaluation following US President tariffs — Has the relationship between Canada and the US become better or worse after US President Trump’s election?
test_item,ces_2025,cps25_resident_2e,en,isolated,0.632226,0.689654,0.632226,4987,10,0,,Including Indigenous history and culture in school curriculum — Include more content about Indigenous history and culture in public school education.
test_item,ces_2025,cps25_resident_2f,en,isolated,0.652305,0.689654,0.614918,4987,10,0,,Returning land and resource control to Indigenous peoples — Return control over land and natural resources to Indigenous peoples.
test_item,ces_2025,cps25_rent_security,en,isolated,0.563676,0.563676,0.555098,5713,17,0,,Worry about housing security in coming years — How worried are you about the security of your housing situation in the next few years?
test_item,cecd_elxn_qc_2007,z1q18,fr,isolated,0.585242,0.585242,0.496893,998,8,0,,"Préférence de politique sur la durée de la journée scolaire primaire — 18. En ce qui concerne la durée de la journée scolaire au niveau primaire, quelle option préférez-vous parmi les suivantes ?"
test_item,cecd_elxn_qc_2007,influence,fr,isolated,0.678737,0.678737,0.678737,2049,10,4,,"Influence perçue des sondages électoraux sur le vote des gens en général — 26. Quelle influence pensez-vous que les sondages vont avoir sur le vote des gens, en général, dans cette élection? Est-ce qu'ils vont amener les gens..."
test_item,eeq_2012,Q44,fr,isolated,0.602099,0.602099,0.602099,1505,11,0,,"Perception du partage des dépenses publiques fédérales entre le Québec et le reste du Canada — Diriez-vous qu'en comparaison avec le reste du Canada, le Québec reçoit sa juste part des dépenses publiques, plus que sa juste part, ou moins que sa juste part?"
test_item,eeq_2018,q44,fr,isolated,0.642471,0.642471,0.564726,3072,8,7,,Symboles religieux visibles chez les enseignants des écoles publiques — Pensez-vous que les personnes qui portent des symboles religieux visibles devraient être autorisées à travailler comme enseignants dans les écoles publiques?
test_item,provincial_qc_2012,Q29,fr,isolated,0.615338,0.615338,0.605861,990,8,0,,"Perception du niveau de compétition électorale dans la circonscription — Croyez-vous que le résultat de l'élection dans votre circonscription sera très serré, assez serré, pas très serré ou pas du tout serré ?"
test_item,provincial_qc_2012,Q30D,fr,isolated,0.667502,0.667502,0.622847,990,8,0,,"Positionnement entre réhabilitation et sentences lourdes en justice — Où vous situez-vous sur une échelle de 0 à 10, où 0 signifie être « très favorable aux sentences lourdes » et 10 signifie être « très favorable aux programmes de réhabilitation » ?"
